, x , y , z , U3
0,-0.1,-0.1,0.9,3.80571237229e-05
1,-0.1,0.1,0.9,2.77423060084e-05
2,0.1,0.1,0.9,3.4241905577e-05
3,0.1,-0.1,0.9,4.59318131928e-05
4,-0.0972603,-0.1,0.9,4.11695018337e-05
5,-0.0945205,-0.1,0.9,4.42297383659e-05
6,-0.0917808,-0.1,0.9,4.70957461208e-05
7,-0.0890411,-0.1,0.9,5.07451266665e-05
8,-0.0863014,-0.1,0.9,5.38644199156e-05
9,-0.0835616,-0.1,0.9,5.76549564432e-05
10,-0.0808219,-0.1,0.9,6.11188023694e-05
11,-0.0780822,-0.1,0.9,6.49027933788e-05
12,-0.0753425,-0.1,0.9,6.86930428143e-05
13,-0.0726027,-0.1,0.9,7.23902458513e-05
14,-0.069863,-0.1,0.9,7.61736309203e-05
15,-0.0671233,-0.1,0.9,7.99257216946e-05
16,-0.0643836,-0.1,0.9,8.35768008908e-05
17,-0.0616438,-0.1,0.9,8.69049780618e-05
18,-0.0589041,-0.1,0.9,9.09705341774e-05
19,-0.0561644,-0.1,0.9,9.44517887924e-05
20,-0.0534247,-0.1,0.9,9.7851229938e-05
21,-0.0506849,-0.1,0.9,0.000101641891551
22,-0.0479452,-0.1,0.9,0.000105450963445
23,-0.0452055,-0.1,0.9,0.000110186437415
24,-0.0424658,-0.1,0.9,0.000113882463842
25,-0.039726,-0.1,0.9,0.000120369661138
26,-0.0369863,-0.1,0.9,0.000124622526783
27,-0.0342466,-0.1,0.9,0.000132616822287
28,-0.0315068,-0.1,0.9,0.000138791929913
29,-0.0287671,-0.1,0.9,0.000148571899604
30,-0.0260274,-0.1,0.9,0.000157631997013
31,-0.0232877,-0.1,0.9,0.000168495276397
32,-0.0205479,-0.1,0.9,0.000181397688984
33,-0.0178082,-0.1,0.9,0.000194638940169
34,-0.0150685,-0.1,0.9,0.000209970580494
35,-0.0123288,-0.1,0.9,0.000226279279777
36,-0.00958904,-0.1,0.9,0.000243914575345
37,-0.00684932,-0.1,0.9,0.000263019601914
38,-0.00410959,-0.1,0.9,0.000281976043817
39,-0.00136986,-0.1,0.9,0.000302559065557
40,0.00136986,-0.1,0.9,0.000322298950191
41,0.00410959,-0.1,0.9,0.000342554397636
42,0.00684932,-0.1,0.9,0.000360680493623
43,0.00958904,-0.1,0.9,0.000378445715286
44,0.0123288,-0.1,0.9,0.000393394481242
45,0.0150685,-0.1,0.9,0.000406199540117
46,0.0178082,-0.1,0.9,0.000415952602539
47,0.0205479,-0.1,0.9,0.000420512964043
48,0.0232877,-0.1,0.9,0.00042293725417
49,0.0260274,-0.1,0.9,0.00042224323717
50,0.0287671,-0.1,0.9,0.000416127748866
51,0.0315068,-0.1,0.9,0.000410788641117
52,0.0342466,-0.1,0.9,0.000398415909083
53,0.0369863,-0.1,0.9,0.00038409375451
54,0.039726,-0.1,0.9,0.000364964603782
55,0.0424658,-0.1,0.9,0.00034601775916
56,0.0452055,-0.1,0.9,0.000324633205197
57,0.0479452,-0.1,0.9,0.000303891133655
58,0.0506849,-0.1,0.9,0.00028094375123
59,0.0534247,-0.1,0.9,0.000259748934064
60,0.0561644,-0.1,0.9,0.000237671881445
61,0.0589041,-0.1,0.9,0.000217177158461
62,0.0616438,-0.1,0.9,0.000197545966298
63,0.0643836,-0.1,0.9,0.000179126146291
64,0.0671233,-0.1,0.9,0.000162302728397
65,0.069863,-0.1,0.9,0.000146284057885
66,0.0726027,-0.1,0.9,0.000132213757364
67,0.0753425,-0.1,0.9,0.000118585112543
68,0.0780822,-0.1,0.9,0.000106965655497
69,0.0808219,-0.1,0.9,9.56373772663e-05
70,0.0835616,-0.1,0.9,8.61225075542e-05
71,0.0863014,-0.1,0.9,7.70892821705e-05
72,0.0890411,-0.1,0.9,6.9338609795e-05
73,0.0917808,-0.1,0.9,6.27348694322e-05
74,0.0945205,-0.1,0.9,5.60677829897e-05
75,0.0972603,-0.1,0.9,5.10337103927e-05
76,-0.1,0.0972603,0.9,2.9294200408e-05
77,-0.1,0.0945205,0.9,3.11015696986e-05
78,-0.1,0.0917808,0.9,3.2845421836e-05
79,-0.1,0.0890411,0.9,3.48422327975e-05
80,-0.1,0.0863014,0.9,3.6693321862e-05
81,-0.1,0.0835616,0.9,3.8658147778e-05
82,-0.1,0.0808219,0.9,4.10237504981e-05
83,-0.1,0.0780822,0.9,4.2611697159e-05
84,-0.1,0.0753425,0.9,4.55204264003e-05
85,-0.1,0.0726027,0.9,4.71509907197e-05
86,-0.1,0.069863,0.9,5.01861516716e-05
87,-0.1,0.0671233,0.9,5.20629202065e-05
88,-0.1,0.0643836,0.9,5.47633910238e-05
89,-0.1,0.0616438,0.9,5.76862163642e-05
90,-0.1,0.0589041,0.9,6.03664623509e-05
91,-0.1,0.0561644,0.9,6.3760853134e-05
92,-0.1,0.0534247,0.9,6.65731271612e-05
93,-0.1,0.0506849,0.9,7.12225365307e-05
94,-0.1,0.0479452,0.9,7.47025790714e-05
95,-0.1,0.0452055,0.9,7.99117583742e-05
96,-0.1,0.0424658,0.9,8.48083018583e-05
97,-0.1,0.039726,0.9,9.1508600195e-05
98,-0.1,0.0369863,0.9,9.76501419379e-05
99,-0.1,0.0342466,0.9,0.000106654514436
100,-0.1,0.0315068,0.9,0.000115707941043
101,-0.1,0.0287671,0.9,0.0001261780524
102,-0.1,0.0260274,0.9,0.000138909912445
103,-0.1,0.0232877,0.9,0.00015170014697
104,-0.1,0.0205479,0.9,0.00016700245684
105,-0.1,0.0178082,0.9,0.000183667152213
106,-0.1,0.0150685,0.9,0.000200662154702
107,-0.1,0.0123288,0.9,0.000219649412302
108,-0.1,0.00958904,0.9,0.000238839092083
109,-0.1,0.00684932,0.9,0.000259011108917
110,-0.1,0.00410959,0.9,0.000279430547634
111,-0.1,0.00136986,0.9,0.000297807154959
112,-0.1,-0.00136986,0.9,0.00031821742095
113,-0.1,-0.00410959,0.9,0.00033501371005
114,-0.1,-0.00684932,0.9,0.000351016413436
115,-0.1,-0.00958904,0.9,0.000364238612323
116,-0.1,-0.0123288,0.9,0.000376263075139
117,-0.1,-0.0150685,0.9,0.000384978870252
118,-0.1,-0.0178082,0.9,0.000391242749011
119,-0.1,-0.0205479,0.9,0.000391896201052
120,-0.1,-0.0232877,0.9,0.000390979754721
121,-0.1,-0.0260274,0.9,0.000385812729795
122,-0.1,-0.0287671,0.9,0.000377126045725
123,-0.1,-0.0315068,0.9,0.000366265930064
124,-0.1,-0.0342466,0.9,0.000352037646313
125,-0.1,-0.0369863,0.9,0.000336662095543
126,-0.1,-0.039726,0.9,0.000319153594233
127,-0.1,-0.0424658,0.9,0.00030099826341
128,-0.1,-0.0452055,0.9,0.000281796426314
129,-0.1,-0.0479452,0.9,0.000262005354116
130,-0.1,-0.0506849,0.9,0.000241526291318
131,-0.1,-0.0534247,0.9,0.000222470018119
132,-0.1,-0.0561644,0.9,0.000202781522119
133,-0.1,-0.0589041,0.9,0.000184957151236
134,-0.1,-0.0616438,0.9,0.000167695374122
135,-0.1,-0.0643836,0.9,0.000151730265417
136,-0.1,-0.0671233,0.9,0.00013669516631
137,-0.1,-0.069863,0.9,0.000123212720854
138,-0.1,-0.0726027,0.9,0.000110165794372
139,-0.1,-0.0753425,0.9,9.90077456936e-05
140,-0.1,-0.0780822,0.9,8.85252710858e-05
141,-0.1,-0.0808219,0.9,7.93100423056e-05
142,-0.1,-0.0835616,0.9,7.08542474931e-05
143,-0.1,-0.0863014,0.9,6.37570754485e-05
144,-0.1,-0.0890411,0.9,5.68705152218e-05
145,-0.1,-0.0917808,0.9,5.1827681854e-05
146,-0.1,-0.0945205,0.9,4.61393477429e-05
147,-0.1,-0.0972603,0.9,4.2209307784e-05
148,0.0972603,0.1,0.9,3.61926899027e-05
149,0.0945205,0.1,0.9,3.80036959404e-05
150,0.0917808,0.1,0.9,3.98101871383e-05
151,0.0890411,0.1,0.9,4.17369929355e-05
152,0.0863014,0.1,0.9,4.36085880868e-05
153,0.0835616,0.1,0.9,4.56736539931e-05
154,0.0808219,0.1,0.9,4.74201125331e-05
155,0.0780822,0.1,0.9,4.97877341875e-05
156,0.0753425,0.1,0.9,5.15917274906e-05
157,0.0726027,0.1,0.9,5.44544311208e-05
158,0.069863,0.1,0.9,5.66528095386e-05
159,0.0671233,0.1,0.9,5.9919972884e-05
160,0.0643836,0.1,0.9,6.29349482154e-05
161,0.0616438,0.1,0.9,6.68657302043e-05
162,0.0589041,0.1,0.9,7.04522256733e-05
163,0.0561644,0.1,0.9,7.54589419682e-05
164,0.0534247,0.1,0.9,8.05466372273e-05
165,0.0506849,0.1,0.9,8.68480028993e-05
166,0.0479452,0.1,0.9,9.32298103159e-05
167,0.0452055,0.1,0.9,0.000100880608376
168,0.0424658,0.1,0.9,0.000109744518984
169,0.039726,0.1,0.9,0.000119328233593
170,0.0369863,0.1,0.9,0.000130286984558
171,0.0342466,0.1,0.9,0.000142112957248
172,0.0315068,0.1,0.9,0.000155844922486
173,0.0287671,0.1,0.9,0.000170381308597
174,0.0260274,0.1,0.9,0.0001867828765
175,0.0232877,0.1,0.9,0.000204330747977
176,0.0205479,0.1,0.9,0.000223874749481
177,0.0178082,0.1,0.9,0.000243687010366
178,0.0150685,0.1,0.9,0.000265985613964
179,0.0123288,0.1,0.9,0.000286287411519
180,0.00958904,0.1,0.9,0.000310273111265
181,0.00684932,0.1,0.9,0.000330805435586
182,0.00410959,0.1,0.9,0.000353755771501
183,0.00136986,0.1,0.9,0.000371211702513
184,-0.00136986,0.1,0.9,0.000390392517457
185,-0.00410959,0.1,0.9,0.000401598177656
186,-0.00684932,0.1,0.9,0.000413640477754
187,-0.00958904,0.1,0.9,0.000420665271345
188,-0.0123288,0.1,0.9,0.000422945170942
189,-0.0150685,0.1,0.9,0.000420216209415
190,-0.0178082,0.1,0.9,0.000414309860702
191,-0.0205479,0.1,0.9,0.0004040496542
192,-0.0232877,0.1,0.9,0.000390562940928
193,-0.0260274,0.1,0.9,0.000374316049359
194,-0.0287671,0.1,0.9,0.000355189933448
195,-0.0315068,0.1,0.9,0.000334034513558
196,-0.0342466,0.1,0.9,0.000312359745291
197,-0.0369863,0.1,0.9,0.000288748408723
198,-0.039726,0.1,0.9,0.000266286947519
199,-0.0424658,0.1,0.9,0.000242933577189
200,-0.0452055,0.1,0.9,0.000221535587348
201,-0.0479452,0.1,0.9,0.000200471126241
202,-0.0506849,0.1,0.9,0.000180650106656
203,-0.0534247,0.1,0.9,0.00016238604601
204,-0.0561644,0.1,0.9,0.000145807276294
205,-0.0589041,0.1,0.9,0.000130416589369
206,-0.0616438,0.1,0.9,0.000116632912932
207,-0.0643836,0.1,0.9,0.000104755640266
208,-0.0671233,0.1,0.9,9.25874409175e-05
209,-0.069863,0.1,0.9,8.36666417045e-05
210,-0.0726027,0.1,0.9,7.41050202131e-05
211,-0.0753425,0.1,0.9,6.68610158133e-05
212,-0.0780822,0.1,0.9,5.96550112293e-05
213,-0.0808219,0.1,0.9,5.34573205615e-05
214,-0.0835616,0.1,0.9,4.85948673658e-05
215,-0.0863014,0.1,0.9,4.3508369913e-05
216,-0.0890411,0.1,0.9,3.95141241651e-05
217,-0.0917808,0.1,0.9,3.59523690902e-05
218,-0.0945205,0.1,0.9,3.30305750703e-05
219,-0.0972603,0.1,0.9,3.00020024738e-05
220,0.1,-0.0972603,0.9,5.01770829469e-05
221,0.1,-0.0945205,0.9,5.41601487749e-05
222,0.1,-0.0917808,0.9,5.87780423704e-05
223,0.1,-0.0890411,0.9,6.38991787957e-05
224,0.1,-0.0863014,0.9,6.88523064076e-05
225,0.1,-0.0835616,0.9,7.44397300602e-05
226,0.1,-0.0808219,0.9,8.02420483872e-05
227,0.1,-0.0780822,0.9,8.64325612285e-05
228,0.1,-0.0753425,0.9,9.27070192036e-05
229,0.1,-0.0726027,0.9,0.000100161635409
230,0.1,-0.069863,0.9,0.000107090801646
231,0.1,-0.0671233,0.9,0.00011476390884
232,0.1,-0.0643836,0.9,0.000123216976049
233,0.1,-0.0616438,0.9,0.000131885587687
234,0.1,-0.0589041,0.9,0.000141269379177
235,0.1,-0.0561644,0.9,0.000152464308819
236,0.1,-0.0534247,0.9,0.000164197063254
237,0.1,-0.0506849,0.9,0.000178616578571
238,0.1,-0.0479452,0.9,0.000196102528152
239,0.1,-0.0452055,0.9,0.000215305754748
240,0.1,-0.0424658,0.9,0.000238785025302
241,0.1,-0.039726,0.9,0.000266547708289
242,0.1,-0.0369863,0.9,0.000295652301767
243,0.1,-0.0342466,0.9,0.000332718484458
244,0.1,-0.0315068,0.9,0.000371774438462
245,0.1,-0.0287671,0.9,0.000415892678167
246,0.1,-0.0260274,0.9,0.000463727912259
247,0.1,-0.0232877,0.9,0.000515273287118
248,0.1,-0.0205479,0.9,0.000567675072465
249,0.1,-0.0178082,0.9,0.000624461255939
250,0.1,-0.0150685,0.9,0.000680111468031
251,0.1,-0.0123288,0.9,0.000736596988323
252,0.1,-0.00958904,0.9,0.000785945455165
253,0.1,-0.00684932,0.9,0.000836834032274
254,0.1,-0.00410959,0.9,0.000882862348768
255,0.1,-0.00136986,0.9,0.000916413617573
256,0.1,0.00136986,0.9,0.0009465018496
257,0.1,0.00410959,0.9,0.000970008781041
258,0.1,0.00684932,0.9,0.000982988951434
259,0.1,0.00958904,0.9,0.000976205025988
260,0.1,0.0123288,0.9,0.00096963906143
261,0.1,0.0150685,0.9,0.000936123616309
262,0.1,0.0178082,0.9,0.000902267481897
263,0.1,0.0205479,0.9,0.000861784800045
264,0.1,0.0232877,0.9,0.00081535337127
265,0.1,0.0260274,0.9,0.000763431852031
266,0.1,0.0287671,0.9,0.000709056694648
267,0.1,0.0315068,0.9,0.000652079057146
268,0.1,0.0342466,0.9,0.000594370140756
269,0.1,0.0369863,0.9,0.00054073135638
270,0.1,0.039726,0.9,0.000485384595995
271,0.1,0.0424658,0.9,0.000434519271714
272,0.1,0.0452055,0.9,0.000387136114931
273,0.1,0.0479452,0.9,0.000342826353951
274,0.1,0.0506849,0.9,0.000302113402068
275,0.1,0.0534247,0.9,0.000266746828308
276,0.1,0.0561644,0.9,0.000232744798406
277,0.1,0.0589041,0.9,0.00020425577654
278,0.1,0.0616438,0.9,0.000178744095895
279,0.1,0.0643836,0.9,0.000155418956851
280,0.1,0.0671233,0.9,0.00013632197789
281,0.1,0.069863,0.9,0.00011850389909
282,0.1,0.0726027,0.9,0.000103852826898
283,0.1,0.0753425,0.9,9.09517358317e-05
284,0.1,0.0780822,0.9,8.00246441418e-05
285,0.1,0.0808219,0.9,7.10928013017e-05
286,0.1,0.0835616,0.9,6.2681588868e-05
287,0.1,0.0863014,0.9,5.65682317496e-05
288,0.1,0.0890411,0.9,5.03500182832e-05
289,0.1,0.0917808,0.9,4.56981690714e-05
290,0.1,0.0945205,0.9,4.10296825065e-05
291,0.1,0.0972603,0.9,3.77530665317e-05
292,0.0972603,-0.0972603,0.9,5.5211338597e-05
293,0.0945205,-0.0972603,0.9,6.17240984091e-05
294,0.0917808,-0.0972603,0.9,6.83417202235e-05
295,0.0890411,-0.0972603,0.9,7.6419476013e-05
296,0.0863014,-0.0972603,0.9,8.54792023894e-05
297,0.0835616,-0.0972603,0.9,9.51647735609e-05
298,0.0808219,-0.0972603,0.9,0.000106803046305
299,0.0780822,-0.0972603,0.9,0.0001189146712
300,0.0753425,-0.0972603,0.9,0.000133230038218
301,0.0726027,-0.0972603,0.9,0.000148596541852
302,0.069863,-0.0972603,0.9,0.000165641662438
303,0.0671233,-0.0972603,0.9,0.000184245036235
304,0.0643836,-0.0972603,0.9,0.000204487094419
305,0.0616438,-0.0972603,0.9,0.000227011074301
306,0.0589041,-0.0972603,0.9,0.000250611568278
307,0.0561644,-0.0972603,0.9,0.000275256882557
308,0.0534247,-0.0972603,0.9,0.000301386740438
309,0.0506849,-0.0972603,0.9,0.000327880298741
310,0.0479452,-0.0972603,0.9,0.000355516545976
311,0.0452055,-0.0972603,0.9,0.000382680268643
312,0.0424658,-0.0972603,0.9,0.00040910928475
313,0.039726,-0.0972603,0.9,0.000433998348506
314,0.0369863,-0.0972603,0.9,0.000454457219545
315,0.0342466,-0.0972603,0.9,0.000471675312097
316,0.0315068,-0.0972603,0.9,0.000487469426099
317,0.0287671,-0.0972603,0.9,0.000500278273251
318,0.0260274,-0.0972603,0.9,0.000504684107699
319,0.0232877,-0.0972603,0.9,0.00050642939899
320,0.0205479,-0.0972603,0.9,0.000503298074954
321,0.0178082,-0.0972603,0.9,0.000493982025945
322,0.0150685,-0.0972603,0.9,0.000482058149327
323,0.0123288,-0.0972603,0.9,0.000466555676381
324,0.00958904,-0.0972603,0.9,0.000447693510139
325,0.00684932,-0.0972603,0.9,0.000425999008721
326,0.00410959,-0.0972603,0.9,0.000401624993655
327,0.00136986,-0.0972603,0.9,0.000377588916784
328,-0.00136986,-0.0972603,0.9,0.000352312835732
329,-0.00410959,-0.0972603,0.9,0.000328114547462
330,-0.00684932,-0.0972603,0.9,0.000303128598225
331,-0.00958904,-0.0972603,0.9,0.00028113186472
332,-0.0123288,-0.0972603,0.9,0.000259365505162
333,-0.0150685,-0.0972603,0.9,0.000238841352987
334,-0.0178082,-0.0972603,0.9,0.000221460040597
335,-0.0205479,-0.0972603,0.9,0.000204370494434
336,-0.0232877,-0.0972603,0.9,0.000190681734548
337,-0.0260274,-0.0972603,0.9,0.000177424588207
338,-0.0287671,-0.0972603,0.9,0.000165853585724
339,-0.0315068,-0.0972603,0.9,0.000156903533018
340,-0.0342466,-0.0972603,0.9,0.000147745869614
341,-0.0369863,-0.0972603,0.9,0.00014175051854
342,-0.039726,-0.0972603,0.9,0.000133862216524
343,-0.0424658,-0.0972603,0.9,0.000129665964881
344,-0.0452055,-0.0972603,0.9,0.000123508877023
345,-0.0479452,-0.0972603,0.9,0.00011983473769
346,-0.0506849,-0.0972603,0.9,0.000114999613801
347,-0.0534247,-0.0972603,0.9,0.000111289124142
348,-0.0561644,-0.0972603,0.9,0.000107011539974
349,-0.0589041,-0.0972603,0.9,0.000103122087357
350,-0.0616438,-0.0972603,0.9,9.93966466387e-05
351,-0.0643836,-0.0972603,0.9,9.49621190036e-05
352,-0.0671233,-0.0972603,0.9,9.08271322895e-05
353,-0.069863,-0.0972603,0.9,8.66076247774e-05
354,-0.0726027,-0.0972603,0.9,8.22218955698e-05
355,-0.0753425,-0.0972603,0.9,7.77114297707e-05
356,-0.0780822,-0.0972603,0.9,7.34331672782e-05
357,-0.0808219,-0.0972603,0.9,6.92230488495e-05
358,-0.0835616,-0.0972603,0.9,6.44720141783e-05
359,-0.0863014,-0.0972603,0.9,6.08136955956e-05
360,-0.0890411,-0.0972603,0.9,5.62270448477e-05
361,-0.0917808,-0.0972603,0.9,5.28363998958e-05
362,-0.0945205,-0.0972603,0.9,4.86497189076e-05
363,-0.0972603,-0.0972603,0.9,4.51999061039e-05
364,0.0972603,-0.0945205,0.9,6.05130043755e-05
365,0.0945205,-0.0945205,0.9,6.68680401055e-05
366,0.0917808,-0.0945205,0.9,7.56545440295e-05
367,0.0890411,-0.0945205,0.9,8.40510292015e-05
