, x , y , z , U3
0,-0.1,-0.1,0.9,0.000318279
1,-0.1,0.1,0.9,0.000422722
2,0.1,0.1,0.9,0.000437997
3,0.1,-0.1,0.9,0.000470162
4,-0.1,-0.0972603,0.9,0.00034862
5,-0.1,-0.0945205,0.9,0.000379403
6,-0.1,-0.0917808,0.9,0.000413608
7,-0.1,-0.0890411,0.9,0.000448865
8,-0.1,-0.0863014,0.9,0.00049053
9,-0.1,-0.0835616,0.9,0.000531989
10,-0.1,-0.0808219,0.9,0.000580347
11,-0.1,-0.0780822,0.9,0.00062996
12,-0.1,-0.0753425,0.9,0.000686566
13,-0.1,-0.0726027,0.9,0.000745335
14,-0.1,-0.069863,0.9,0.000812781
15,-0.1,-0.0671233,0.9,0.000878539
16,-0.1,-0.0643836,0.9,0.000958196
17,-0.1,-0.0616438,0.9,0.0010383
18,-0.1,-0.0589041,0.9,0.00111795
19,-0.1,-0.0561644,0.9,0.0012167
20,-0.1,-0.0534247,0.9,0.0013078
21,-0.1,-0.0506849,0.9,0.00138614
22,-0.1,-0.0479452,0.9,0.00152362
23,-0.1,-0.0452055,0.9,0.00162214
24,-0.1,-0.0424658,0.9,0.0017384
25,-0.1,-0.039726,0.9,0.00188869
26,-0.1,-0.0369863,0.9,0.00206025
27,-0.1,-0.0342466,0.9,0.00221595
28,-0.1,-0.0315068,0.9,0.00241396
29,-0.1,-0.0287671,0.9,0.0026796
30,-0.1,-0.0260274,0.9,0.00273799
31,-0.1,-0.0232877,0.9,0.00359889
32,-0.1,-0.0205479,0.9,0.00177313
33,-0.1,-0.0178082,0.9,0.000123873
34,-0.1,-0.0150685,0.9,-0.00134533
35,-0.1,-0.0123288,0.9,-0.00262867
36,-0.1,-0.00958904,0.9,-0.003627
37,-0.1,-0.00684932,0.9,-0.0045129
38,-0.1,-0.00410959,0.9,-0.00522423
39,-0.1,-0.00136986,0.9,-0.00576169
40,-0.1,0.00136986,0.9,-0.0060185
41,-0.1,0.00410959,0.9,-0.00604282
42,-0.1,0.00684932,0.9,-0.00588344
43,-0.1,0.00958904,0.9,-0.00559829
44,-0.1,0.0123288,0.9,-0.00506337
45,-0.1,0.0150685,0.9,-0.00437847
46,-0.1,0.0178082,0.9,-0.00347663
47,-0.1,0.0205479,0.9,-0.00242971
48,-0.1,0.0232877,0.9,-0.00113503
49,-0.1,0.0260274,0.9,0.000291534
50,-0.1,0.0287671,0.9,0.00202375
51,-0.1,0.0315068,0.9,0.00382884
52,-0.1,0.0342466,0.9,0.00376526
53,-0.1,0.0369863,0.9,0.00271919
54,-0.1,0.039726,0.9,0.00169383
55,-0.1,0.0424658,0.9,0.000868142
56,-0.1,0.0452055,0.9,0.000291482
57,-0.1,0.0479452,0.9,1.89944e-05
58,-0.1,0.0506849,0.9,-9.13744e-05
59,-0.1,0.0534247,0.9,1.30327e-05
60,-0.1,0.0561644,0.9,0.000306993
61,-0.1,0.0589041,0.9,0.000836665
62,-0.1,0.0616438,0.9,0.00150048
63,-0.1,0.0643836,0.9,0.00226747
64,-0.1,0.0671233,0.9,0.00192787
65,-0.1,0.069863,0.9,0.00170719
66,-0.1,0.0726027,0.9,0.00157806
67,-0.1,0.0753425,0.9,0.00139732
68,-0.1,0.0780822,0.9,0.00125658
69,-0.1,0.0808219,0.9,0.00110644
70,-0.1,0.0835616,0.9,0.00097517
71,-0.1,0.0863014,0.9,0.00085453
72,-0.1,0.0890411,0.9,0.00074484
73,-0.1,0.0917808,0.9,0.000649421
74,-0.1,0.0945205,0.9,0.000562743
75,-0.1,0.0972603,0.9,0.000489016
76,-0.0972603,0.1,0.9,0.000456548
77,-0.0945205,0.1,0.9,0.000488622
78,-0.0917808,0.1,0.9,0.000521156
79,-0.0890411,0.1,0.9,0.000554817
80,-0.0863014,0.1,0.9,0.00058578
81,-0.0835616,0.1,0.9,0.000616622
82,-0.0808219,0.1,0.9,0.000648631
83,-0.0780822,0.1,0.9,0.000678812
84,-0.0753425,0.1,0.9,0.000709637
85,-0.0726027,0.1,0.9,0.000739305
86,-0.069863,0.1,0.9,0.000775889
87,-0.0671233,0.1,0.9,0.000813471
88,-0.0643836,0.1,0.9,0.000857714
89,-0.0616438,0.1,0.9,0.000915325
90,-0.0589041,0.1,0.9,0.000983209
91,-0.0561644,0.1,0.9,0.00107083
92,-0.0534247,0.1,0.9,0.00116981
93,-0.0506849,0.1,0.9,0.00129599
94,-0.0479452,0.1,0.9,0.00145743
95,-0.0452055,0.1,0.9,0.00166273
96,-0.0424658,0.1,0.9,0.00189474
97,-0.039726,0.1,0.9,0.00224251
98,-0.0369863,0.1,0.9,0.00238272
99,-0.0342466,0.1,0.9,0.00306807
100,-0.0315068,0.1,0.9,0.00146272
101,-0.0287671,0.1,0.9,4.53362e-05
102,-0.0260274,0.1,0.9,-0.00123196
103,-0.0232877,0.1,0.9,-0.00227894
104,-0.0205479,0.1,0.9,-0.00302923
105,-0.0178082,0.1,0.9,-0.00374064
106,-0.0150685,0.1,0.9,-0.00416874
107,-0.0123288,0.1,0.9,-0.00442692
108,-0.00958904,0.1,0.9,-0.00444038
109,-0.00684932,0.1,0.9,-0.00441496
110,-0.00410959,0.1,0.9,-0.00408775
111,-0.00136986,0.1,0.9,-0.00357632
112,0.00136986,0.1,0.9,-0.00290812
113,0.00410959,0.1,0.9,-0.0019451
