, x , y , z , U3
0,-0.1,-0.1,0.9,3.46399e-05
1,-0.1,0.1,0.9,3.26423e-05
2,0.1,0.1,0.9,2.60887e-05
3,0.1,-0.1,0.9,5.14259e-05
4,-0.1,-0.0972603,0.9,3.71558e-05
5,-0.1,-0.0945205,0.9,4.03506e-05
6,-0.1,-0.0917808,0.9,4.35673e-05
7,-0.1,-0.0890411,0.9,4.72205e-05
8,-0.1,-0.0863014,0.9,5.07721e-05
9,-0.1,-0.0835616,0.9,5.52922e-05
10,-0.1,-0.0808219,0.9,5.93432e-05
11,-0.1,-0.0780822,0.9,6.42203e-05
12,-0.1,-0.0753425,0.9,6.93416e-05
13,-0.1,-0.0726027,0.9,7.49055e-05
14,-0.1,-0.069863,0.9,8.05603e-05
15,-0.1,-0.0671233,0.9,8.68491e-05
16,-0.1,-0.0643836,0.9,9.31212e-05
17,-0.1,-0.0616438,0.9,0.000100588
18,-0.1,-0.0589041,0.9,0.000108145
19,-0.1,-0.0561644,0.9,0.000116644
20,-0.1,-0.0534247,0.9,0.000125707
21,-0.1,-0.0506849,0.9,0.000136516
22,-0.1,-0.0479452,0.9,0.0001481
23,-0.1,-0.0452055,0.9,0.000162828
24,-0.1,-0.0424658,0.9,0.000179496
25,-0.1,-0.039726,0.9,0.00019877
26,-0.1,-0.0369863,0.9,0.000222558
27,-0.1,-0.0342466,0.9,0.000249287
28,-0.1,-0.0315068,0.9,0.000280045
29,-0.1,-0.0287671,0.9,0.000315235
30,-0.1,-0.0260274,0.9,0.000353502
31,-0.1,-0.0232877,0.9,0.000397747
32,-0.1,-0.0205479,0.9,0.000442154
33,-0.1,-0.0178082,0.9,0.000493201
34,-0.1,-0.0150685,0.9,0.000543098
35,-0.1,-0.0123288,0.9,0.00059543
36,-0.1,-0.00958904,0.9,0.000647541
37,-0.1,-0.00684932,0.9,0.000697401
38,-0.1,-0.00410959,0.9,0.00074417
39,-0.1,-0.00136986,0.9,0.000784887
40,-0.1,0.00136986,0.9,0.000824567
41,-0.1,0.00410959,0.9,0.000849017
42,-0.1,0.00684932,0.9,0.000873782
43,-0.1,0.00958904,0.9,0.000891683
44,-0.1,0.0123288,0.9,0.000896159
45,-0.1,0.0150685,0.9,0.000889674
46,-0.1,0.0178082,0.9,0.000876459
47,-0.1,0.0205479,0.9,0.000849484
48,-0.1,0.0232877,0.9,0.000813845
49,-0.1,0.0260274,0.9,0.000777547
50,-0.1,0.0287671,0.9,0.000732144
51,-0.1,0.0315068,0.9,0.000686593
52,-0.1,0.0342466,0.9,0.000636364
53,-0.1,0.0369863,0.9,0.000584655
54,-0.1,0.039726,0.9,0.000532707
55,-0.1,0.0424658,0.9,0.000482283
56,-0.1,0.0452055,0.9,0.000433434
57,-0.1,0.0479452,0.9,0.00038664
58,-0.1,0.0506849,0.9,0.000343242
59,-0.1,0.0534247,0.9,0.000303324
60,-0.1,0.0561644,0.9,0.000266543
61,-0.1,0.0589041,0.9,0.000234277
62,-0.1,0.0616438,0.9,0.000204145
63,-0.1,0.0643836,0.9,0.000178485
64,-0.1,0.0671233,0.9,0.000155323
65,-0.1,0.069863,0.9,0.000134938
66,-0.1,0.0726027,0.9,0.000117401
67,-0.1,0.0753425,0.9,0.00010227
68,-0.1,0.0780822,0.9,8.88668e-05
69,-0.1,0.0808219,0.9,7.77104e-05
70,-0.1,0.0835616,0.9,6.77865e-05
71,-0.1,0.0863014,0.9,5.94989e-05
72,-0.1,0.0890411,0.9,5.23575e-05
73,-0.1,0.0917808,0.9,4.61684e-05
74,-0.1,0.0945205,0.9,4.10418e-05
75,-0.1,0.0972603,0.9,3.63754e-05
76,-0.0972603,0.1,0.9,3.4296e-05
77,-0.0945205,0.1,0.9,3.60778e-05
78,-0.0917808,0.1,0.9,3.75616e-05
79,-0.0890411,0.1,0.9,3.9414e-05
80,-0.0863014,0.1,0.9,4.08268e-05
81,-0.0835616,0.1,0.9,4.2542e-05
82,-0.0808219,0.1,0.9,4.38415e-05
83,-0.0780822,0.1,0.9,4.53382e-05
84,-0.0753425,0.1,0.9,4.646e-05
85,-0.0726027,0.1,0.9,4.75614e-05
86,-0.069863,0.1,0.9,4.83134e-05
87,-0.0671233,0.1,0.9,4.91594e-05
88,-0.0643836,0.1,0.9,4.95367e-05
89,-0.0616438,0.1,0.9,5.01731e-05
90,-0.0589041,0.1,0.9,5.00446e-05
91,-0.0561644,0.1,0.9,5.02489e-05
92,-0.0534247,0.1,0.9,5.00466e-05
93,-0.0506849,0.1,0.9,4.9774e-05
94,-0.0479452,0.1,0.9,4.91776e-05
95,-0.0452055,0.1,0.9,4.87787e-05
96,-0.0424658,0.1,0.9,4.82664e-05
97,-0.039726,0.1,0.9,4.76857e-05
98,-0.0369863,0.1,0.9,4.66212e-05
99,-0.0342466,0.1,0.9,4.63374e-05
100,-0.0315068,0.1,0.9,4.51206e-05
101,-0.0287671,0.1,0.9,4.46794e-05
102,-0.0260274,0.1,0.9,4.36603e-05
103,-0.0232877,0.1,0.9,4.29932e-05
104,-0.0205479,0.1,0.9,4.21582e-05
105,-0.0178082,0.1,0.9,4.18198e-05
106,-0.0150685,0.1,0.9,4.13495e-05
107,-0.0123288,0.1,0.9,4.10713e-05
108,-0.00958904,0.1,0.9,4.07804e-05
109,-0.00684932,0.1,0.9,4.10514e-05
110,-0.00410959,0.1,0.9,4.09491e-05
111,-0.00136986,0.1,0.9,4.15517e-05
112,0.00136986,0.1,0.9,4.18092e-05
113,0.00410959,0.1,0.9,4.23315e-05
114,0.00684932,0.1,0.9,4.30239e-05
115,0.00958904,0.1,0.9,4.38354e-05
116,0.0123288,0.1,0.9,4.48434e-05
117,0.0150685,0.1,0.9,4.57129e-05
118,0.0178082,0.1,0.9,4.69753e-05
119,0.0205479,0.1,0.9,4.77111e-05
120,0.0232877,0.1,0.9,4.8878e-05
121,0.0260274,0.1,0.9,4.96985e-05
122,0.0287671,0.1,0.9,5.09242e-05
123,0.0315068,0.1,0.9,5.14569e-05
124,0.0342466,0.1,0.9,5.22772e-05
125,0.0369863,0.1,0.9,5.29012e-05
126,0.039726,0.1,0.9,5.31837e-05
127,0.0424658,0.1,0.9,5.35433e-05
128,0.0452055,0.1,0.9,5.32564e-05
129,0.0479452,0.1,0.9,5.32758e-05
130,0.0506849,0.1,0.9,5.30845e-05
131,0.0534247,0.1,0.9,5.23291e-05
132,0.0561644,0.1,0.9,5.14695e-05
133,0.0589041,0.1,0.9,5.05416e-05
134,0.0616438,0.1,0.9,4.94579e-05
135,0.0643836,0.1,0.9,4.8062e-05
136,0.0671233,0.1,0.9,4.64276e-05
137,0.069863,0.1,0.9,4.49246e-05
138,0.0726027,0.1,0.9,4.32014e-05
139,0.0753425,0.1,0.9,4.15195e-05
140,0.0780822,0.1,0.9,3.98996e-05
141,0.0808219,0.1,0.9,3.81955e-05
142,0.0835616,0.1,0.9,3.637e-05
143,0.0863014,0.1,0.9,3.44166e-05
144,0.0890411,0.1,0.9,3.2923e-05
145,0.0917808,0.1,0.9,3.09651e-05
146,0.0945205,0.1,0.9,2.95133e-05
147,0.0972603,0.1,0.9,2.77681e-05
148,0.0972603,-0.1,0.9,5.75686e-05
149,0.0945205,-0.1,0.9,6.37871e-05
150,0.0917808,-0.1,0.9,7.14684e-05
151,0.0890411,-0.1,0.9,7.9463e-05
152,0.0863014,-0.1,0.9,8.83829e-05
153,0.0835616,-0.1,0.9,9.86007e-05
154,0.0808219,-0.1,0.9,0.000109402
155,0.0780822,-0.1,0.9,0.000121204
156,0.0753425,-0.1,0.9,0.000133988
157,0.0726027,-0.1,0.9,0.000147089
158,0.069863,-0.1,0.9,0.000161802
159,0.0671233,-0.1,0.9,0.000176076
160,0.0643836,-0.1,0.9,0.000191753
161,0.0616438,-0.1,0.9,0.000206883
162,0.0589041,-0.1,0.9,0.000221568
163,0.0561644,-0.1,0.9,0.000237281
164,0.0534247,-0.1,0.9,0.000251354
165,0.0506849,-0.1,0.9,0.000265114
166,0.0479452,-0.1,0.9,0.000277407
167,0.0452055,-0.1,0.9,0.000287722
168,0.0424658,-0.1,0.9,0.000297246
169,0.039726,-0.1,0.9,0.000304469
170,0.0369863,-0.1,0.9,0.000309823
171,0.0342466,-0.1,0.9,0.000313031
172,0.0315068,-0.1,0.9,0.000313181
173,0.0287671,-0.1,0.9,0.000311576
174,0.0260274,-0.1,0.9,0.000309061
175,0.0232877,-0.1,0.9,0.000303035
176,0.0205479,-0.1,0.9,0.000299022
177,0.0178082,-0.1,0.9,0.000291041
178,0.0150685,-0.1,0.9,0.000285293
179,0.0123288,-0.1,0.9,0.000277402
180,0.00958904,-0.1,0.9,0.000271932
181,0.00684932,-0.1,0.9,0.000266007
182,0.00410959,-0.1,0.9,0.000261282
183,0.00136986,-0.1,0.9,0.000257264
184,-0.00136986,-0.1,0.9,0.000255583
185,-0.00410959,-0.1,0.9,0.000253224
186,-0.00684932,-0.1,0.9,0.000253046
187,-0.00958904,-0.1,0.9,0.000251657
188,-0.0123288,-0.1,0.9,0.000251271
189,-0.0150685,-0.1,0.9,0.000250404
190,-0.0178082,-0.1,0.9,0.000248719
191,-0.0205479,-0.1,0.9,0.000246842
192,-0.0232877,-0.1,0.9,0.000242658
193,-0.0260274,-0.1,0.9,0.00023885
194,-0.0287671,-0.1,0.9,0.000232545
195,-0.0315068,-0.1,0.9,0.000226086
196,-0.0342466,-0.1,0.9,0.000217734
197,-0.0369863,-0.1,0.9,0.000209592
198,-0.039726,-0.1,0.9,0.000199864
199,-0.0424658,-0.1,0.9,0.000189848
200,-0.0452055,-0.1,0.9,0.000179415
201,-0.0479452,-0.1,0.9,0.000168869
202,-0.0506849,-0.1,0.9,0.000158099
203,-0.0534247,-0.1,0.9,0.000147682
204,-0.0561644,-0.1,0.9,0.000137034
205,-0.0589041,-0.1,0.9,0.000127191
206,-0.0616438,-0.1,0.9,0.000116887
207,-0.0643836,-0.1,0.9,0.000108272
208,-0.0671233,-0.1,0.9,9.91292e-05
209,-0.069863,-0.1,0.9,9.147e-05
210,-0.0726027,-0.1,0.9,8.32547e-05
211,-0.0753425,-0.1,0.9,7.63972e-05
212,-0.0780822,-0.1,0.9,6.96342e-05
213,-0.0808219,-0.1,0.9,6.36641e-05
214,-0.0835616,-0.1,0.9,5.79906e-05
215,-0.0863014,-0.1,0.9,5.30414e-05
216,-0.0890411,-0.1,0.9,4.83693e-05
217,-0.0917808,-0.1,0.9,4.4394e-05
218,-0.0945205,-0.1,0.9,4.07538e-05
219,-0.0972603,-0.1,0.9,3.72732e-05
220,0.1,-0.0972603,0.9,5.66908e-05
221,0.1,-0.0945205,0.9,6.15966e-05
222,0.1,-0.0917808,0.9,6.80402e-05
223,0.1,-0.0890411,0.9,7.35923e-05
224,0.1,-0.0863014,0.9,8.08779e-05
225,0.1,-0.0835616,0.9,8.75754e-05
226,0.1,-0.0808219,0.9,9.53308e-05
227,0.1,-0.0780822,0.9,0.000102372
228,0.1,-0.0753425,0.9,0.000110687
229,0.1,-0.0726027,0.9,0.000118227
230,0.1,-0.069863,0.9,0.000126649
231,0.1,-0.0671233,0.9,0.000133734
232,0.1,-0.0643836,0.9,0.000141196
233,0.1,-0.0616438,0.9,0.000148258
234,0.1,-0.0589041,0.9,0.000155138
235,0.1,-0.0561644,0.9,0.000160779
236,0.1,-0.0534247,0.9,0.000166477
237,0.1,-0.0506849,0.9,0.000171158
238,0.1,-0.0479452,0.9,0.000175393
239,0.1,-0.0452055,0.9,0.000178551
240,0.1,-0.0424658,0.9,0.000181871
241,0.1,-0.039726,0.9,0.000183659
242,0.1,-0.0369863,0.9,0.000187845
243,0.1,-0.0342466,0.9,0.000188753
244,0.1,-0.0315068,0.9,0.000193692
245,0.1,-0.0287671,0.9,0.00019472
246,0.1,-0.0260274,0.9,0.000200815
247,0.1,-0.0232877,0.9,0.000205059
248,0.1,-0.0205479,0.9,0.000212277
249,0.1,-0.0178082,0.9,0.000218798
250,0.1,-0.0150685,0.9,0.000229478
251,0.1,-0.0123288,0.9,0.000238508
252,0.1,-0.00958904,0.9,0.000250715
253,0.1,-0.00684932,0.9,0.000262134
254,0.1,-0.00410959,0.9,0.000274684
255,0.1,-0.00136986,0.9,0.000286925
256,0.1,0.00136986,0.9,0.000298241
257,0.1,0.00410959,0.9,0.000309706
258,0.1,0.00684932,0.9,0.000319443
259,0.1,0.00958904,0.9,0.000326553
260,0.1,0.0123288,0.9,0.000333019
261,0.1,0.0150685,0.9,0.000334931
262,0.1,0.0178082,0.9,0.000335818
263,0.1,0.0205479,0.9,0.000332141
264,0.1,0.0232877,0.9,0.000327862
265,0.1,0.0260274,0.9,0.000320222
266,0.1,0.0287671,0.9,0.000308749
267,0.1,0.0315068,0.9,0.000295939
268,0.1,0.0342466,0.9,0.000280901
269,0.1,0.0369863,0.9,0.000265167
270,0.1,0.039726,0.9,0.000248522
271,0.1,0.0424658,0.9,0.000231177
272,0.1,0.0452055,0.9,0.000212662
273,0.1,0.0479452,0.9,0.000195386
274,0.1,0.0506849,0.9,0.000178052
275,0.1,0.0534247,0.9,0.00016139
276,0.1,0.0561644,0.9,0.000146311
277,0.1,0.0589041,0.9,0.000130869
278,0.1,0.0616438,0.9,0.000118051
279,0.1,0.0643836,0.9,0.000105137
280,0.1,0.0671233,0.9,9.39911e-05
281,0.1,0.069863,0.9,8.40245e-05
282,0.1,0.0726027,0.9,7.48623e-05
283,0.1,0.0753425,0.9,6.67031e-05
284,0.1,0.0780822,0.9,5.96174e-05
285,0.1,0.0808219,0.9,5.30915e-05
286,0.1,0.0835616,0.9,4.77685e-05
287,0.1,0.0863014,0.9,4.27664e-05
288,0.1,0.0890411,0.9,3.85758e-05
289,0.1,0.0917808,0.9,3.49137e-05
290,0.1,0.0945205,0.9,3.13861e-05
291,0.1,0.0972603,0.9,2.88688e-05
292,-0.0972603,-0.0972603,0.9,4.07279e-05
293,-0.0945205,-0.0972603,0.9,4.42205e-05
294,-0.0917808,-0.0972603,0.9,4.84336e-05
295,-0.0890411,-0.0972603,0.9,5.31933e-05
296,-0.0863014,-0.0972603,0.9,5.82857e-05
297,-0.0835616,-0.0972603,0.9,6.40002e-05
298,-0.0808219,-0.0972603,0.9,7.03706e-05
299,-0.0780822,-0.0972603,0.9,7.76337e-05
300,-0.0753425,-0.0972603,0.9,8.50612e-05
301,-0.0726027,-0.0972603,0.9,9.35889e-05
302,-0.069863,-0.0972603,0.9,0.000102126
303,-0.0671233,-0.0972603,0.9,0.000112113
304,-0.0643836,-0.0972603,0.9,0.00012217
305,-0.0616438,-0.0972603,0.9,0.00013358
306,-0.0589041,-0.0972603,0.9,0.000144603
307,-0.0561644,-0.0972603,0.9,0.000157357
308,-0.0534247,-0.0972603,0.9,0.00016934
309,-0.0506849,-0.0972603,0.9,0.000183082
310,-0.0479452,-0.0972603,0.9,0.000195514
311,-0.0452055,-0.0972603,0.9,0.000208751
312,-0.0424658,-0.0972603,0.9,0.0002214
313,-0.039726,-0.0972603,0.9,0.000234028
314,-0.0369863,-0.0972603,0.9,0.000245311
315,-0.0342466,-0.0972603,0.9,0.000256234
316,-0.0315068,-0.0972603,0.9,0.000265031
317,-0.0287671,-0.0972603,0.9,0.000273304
318,-0.0260274,-0.0972603,0.9,0.000279168
319,-0.0232877,-0.0972603,0.9,0.000284929
320,-0.0205479,-0.0972603,0.9,0.000287742
321,-0.0178082,-0.0972603,0.9,0.000290958
322,-0.0150685,-0.0972603,0.9,0.000291948
